admin/inc/dashboard.php : accordion_layout
admin/inc/contents.php : content_type_list_entry
admin/inc/registerform.php : before_register_form_title
admin/inc/registerform.php : before_register_form
admin/inc/registerform.php : register_form_field
admin/inc/registerform.php : after_register_form
admin/inc/settings_simple.php : settings_simple
admin/inc/header.php : admin_head
admin/inc/adminmenu.php : admin_menu_item
admin/inc/add_page.php : page_option
admin/inc/edit_page.php : page_option
admin/inc/cron.php : add_hookadmin_cron
admin/inc/queries.php : query
admin/inc/queries.php : before_safe_simple_settings
admin/inc/queries.php : after_safe_simple_settings
admin/inc/queries.php : before_view_website
admin/inc/queries.php : before_undelete_page
admin/inc/queries.php : after_undelete_page
admin/inc/queries.php : before_delete_page
admin/inc/queries.php : after_delete_page
admin/inc/queries.php : before_save_spamfilter_settings
admin/inc/queries.php : after_save_spamfilter_settings
admin/inc/queries.php : before_save_template
admin/inc/queries.php : after_save_template
admin/inc/queries.php : after_save_template_successfull
admin/inc/queries.php : after_save_template
admin/inc/queries.php : after_save_template_failed
admin/inc/queries.php : before_empty_trash
admin/inc/queries.php : after_empty_trash
admin/inc/queries.php : before_delete_key
admin/inc/queries.php : after_delete_key
admin/inc/queries.php : before_delete_language
admin/inc/queries.php : after_delete_language
admin/inc/queries.php : before_set_default_language
admin/inc/queries.php : after_set_default_language
admin/inc/queries.php : before_create_language
admin/inc/queries.php : after_create_language
admin/inc/queries.php : before_banner_delete
admin/inc/queries.php : after_banner_delete
admin/inc/queries.php : before_admin_delete
admin/inc/queries.php : after_admin_delete
admin/inc/queries.php : before_create_page
admin/inc/queries.php : after_create_page
admin/inc/queries.php : before_create_banner
admin/inc/queries.php : after_create_banner
admin/inc/queries.php : before_add_key
admin/inc/queries.php : after_add_key
admin/inc/queries.php : before_edit_page
admin/inc/queries.php : after_edit_page
admin/inc/queries.php : before_upload_logo
admin/inc/queries.php : after_upload_logo_successfull
admin/inc/queries.php : after_upload_logo_failed
admin/inc/queries.php : after_upload_logo
admin/inc/queries.php : before_edit_user
admin/inc/queries.php : after_edit_user
admin/inc/queries.php : before_edit_banner
admin/inc/queries.php : after_edit_banner
admin/inc/queries.php : before_edit_key
admin/inc/queries.php : after_edit_key
admin/inc/fonts.php : custom_fonts
admin/inc/logincheck.php : login_ok
admin/inc/logincheck.php : login_failed
admin/backend.php : after_session_start
admin/backend.php : register_actions
api.php : before_log_request
api.php : after_log_request
api.php : $post_types
api.php : before_clear_cache
api.php : after_clear_cache
classes/acl.php : custom_acl
cron.php : cron
frontend.php : before_session_start
frontend.php : after_session_start
frontend.php : before_global_redirection
frontend.php : before_maintenance_message
frontend.php : after_maintenance_message
frontend.php : before_http_header
frontend.php : after_http_header
frontend.php : before_html
frontend.php : before_cron
frontend.php : after_cron
frontend.php : before_content
frontend.php : after_content
frontend.php : after_html
frontend.php : before_cron
frontend.php : after_cron
frontend.php : before_cron
frontend.php : after_cron
frontend.php : before_cron
frontend.php : after_cron
init.php : before_init
init.php : init
init.php : after_init
lang/en.php : add_hooklang_en
lang/de.php : add_hooklang_en
lang/de.php : add_hooklang_de
templating.php : after_jquery_include
templating.php : head
users_api.php : before_create_user
users_api.php : after_create_user
